Catchment_ID,Catchment_Area,Cannabis_Area,Cann_Percent_Cover,JanWE_95thPctl,FebWE_95thPctl,MarWE_95thPctl,AprWE_95thPctl,MayWE_95thPctl,JunWE_95thPctl,JulWE_95thPctl,AugWE_95thPctl,SepWE_95thPctl,OctWE_95thPctl,NovWE_95thPctl,DecWE_95thPctl,JanWE_95thPctl.1,JanWE_90thPctl,FebWE_90thPctl,MarWE_90thPctl,AprWE_90thPctl,MayWE_90thPctl,JunWE_90thPctl,JulWE_90thPctl,AugWE_90thPctl,SepWE_90thPctl,OctWE_90thPctl,NovWE_90thPctl,DecWE_90thPctl,JanWE_75thPctl,FebWE_75thPctl,MarWE_75thPctl,AprWE_75thPctl,MayWE_75thPctl,JunWE_75thPctl,JulWE_75thPctl,AugWE_75thPctl,SepWE_75thPctl,OctWE_75thPctl,NovWE_75thPctl,DecWE_75thPctl,JanWE_FullData,FebWE_FullData,MarWE_FullData,AprWE_FullData,MayWE_FullData,JunWE_FullData,JulWE_FullData,AugWE_FullData,SepWE_FullData,OctWE_FullData,NovWE_FullData,DecWE_FullData,JanWE_SubMedian,FebWE_SubMedian,MarWE_SubMedian,AprWE_SubMedian,MayWE_SubMedian,JunWE_SubMedian,JulWE_SubMedian,AugWE_SubMedian,SepWE_SubMedian,OctWE_SubMedian,NovWE_SubMedian,DecWE_SubMedian
8318809,3270104.758,29781.9128,0.0091073270000,1560.371671,1626.637855,1796.692747,2152.846235,3294.41799,6646.643211,8878.861759,9827.904725,8162.251286,3835.374455,1012.66844,1022.237605,1358.674561,1358.674561,1416.375031,1564.44825,1874.564547,2868.574199,5787.483339,7731.160356,8557.527919,7107.180545,3339.605429,881.7686667,890.1009003,873.6344634,910.7361511,1005.947963,1205.354276,1844.5074,3721.380415,4971.174352,5502.532783,4569.952247,2147.382811,566.9816145,572.3392819,352.7140548,367.6931877,406.1332285,486.6399072,744.6863779,1502.439785,2007.021399,2221.547719,1845.035258,866.9668267,228.908534,231.0715949,218.1084523,227.3711268,251.141367,300.9244331,460.4931136,929.066511,1241.085591,1373.742634,1140.917916,536.1079044,141.5505999,142.888176
8318813,3170703.552,15003.51154,0.0047319190000,608.7843273,634.638305,700.9858011,839.9402987,1285.328411,2593.21051,3464.118187,3834.390536,3184.530168,1496.38442,395.0960444,398.8294868,546.4030407,546.4030407,569.6077972,629.1567573,753.87278,1153.622589,2327.487822,3109.154796,3441.485851,2858.215774,1343.051982,354.6111001,357.9619819,356.7854943,371.9375339,410.8212947,492.2572761,753.2824218,1519.782708,2030.188795,2247.19143,1866.33282,876.9743751,231.5508649,233.7388944,141.5241108,147.5343857,162.9581901,195.2609463,298.8003341,602.8437248,805.3036585,891.3808825,740.3078233,347.8645309,91.84798925,92.71590271,89.37468188,93.17026422,102.9106371,123.3103312,188.6970684,380.7052088,508.5618127,562.9209213,467.5159296,219.6818734,58.00343685,58.55153773
8318817,3384255.574,28809.50892,0.0085128050000,1057.315463,1102.217753,1217.447779,1458.779121,2232.313716,4503.797895,6016.360083,6659.436231,5530.781327,2598.868459,686.1890796,692.6731926,1017.381363,1017.381363,1060.587724,1171.465588,1403.682007,2148.000717,4333.692453,5789.126176,6407.913767,5321.887406,2500.710931,660.2721758,666.5113882,627.425673,654.0713152,722.4504119,865.6597806,1324.685947,2672.61619,3570.191589,3951.801902,3282.042415,1542.204619,407.1941252,411.0418878,276.2364456,287.9677117,318.0729488,381.1236792,583.2189427,1176.671642,1571.846798,1739.858215,1444.983478,678.9858,179.2751917,180.9692446,175.9318281,183.4033371,202.5770178,242.7333058,371.4454643,749.4086911,1001.091221,1108.095768,920.293426,432.4382788,114.1783162,115.257239
8318819,1302225.71,8515.306202,0.0065390400000,78.00394027,81.31662761,89.81777636,107.6221084,164.6899831,332.2697854,443.8597646,491.3030066,408.0359659,191.7327298,50.62391863,51.10228709,65.23807809,65.23807809,68.00862218,75.11850155,90.0090366,137.7373751,277.8916312,371.2191702,410.898011,341.2581738,160.3543969,42.33897859,42.73905887,45.27918635,47.20211213,52.13680001,62.47173524,95.59809942,192.873661,257.6486383,285.1881625,236.8538881,111.2956855,29.38582125,29.66350126,19.79839287,20.63919508,22.79689483,27.31586093,41.80041388,84.33430063,112.6572577,124.6989563,103.5647216,48.66420718,12.84899489,12.97041089,10.49023594,10.93573743,12.07900091,14.47338822,22.14807065,44.68477403,59.69177505,66.07210405,54.87406842,25.78487146,6.808077245,6.872409866
8318821,1305566.914,2784.018216,0.0021324210000,113.5028454,118.3231076,130.6930541,156.5999807,239.6389418,483.4828338,645.8564282,714.8906712,593.7295348,278.9886039,73.66241746,74.35848717,113.3615512,113.3615512,118.1758128,130.5303606,156.4050369,239.3406268,482.8809694,645.0524328,714.0007384,592.9904296,278.6413045,73.57071867,74.26592189,69.13055646,72.06640712,79.60050272,95.3794926,145.9555779,294.4722417,393.3682377,435.414546,361.6195961,169.9220611,44.86516518,45.28911655,35.08135786,36.57120017,40.39449218,48.40178185,74.06738961,149.4344415,199.6207267,220.9577687,183.5093931,86.22954795,22.76751405,22.98265465,16.97241564,17.69320368,19.54291831,23.41685754,35.8339186,72.29661583,96.57681889,106.8997131,88.78213059,41.71798978,11.0149588,11.11904416
8318825,1233046.741,3684.530759,0.0029881520000,178.6345611,186.2208503,205.6890845,246.462269,377.1517536,760.9213981,1016.470373,1125.118765,934.4313306,439.0815634,115.9323677,117.0278655,145.8450334,145.8450334,152.0388102,167.9335242,201.2225273,307.9231127,621.2493595,829.890669,918.5959472,762.910423,358.4853057,94.65223266,95.54664469,98.82227649,103.0190812,113.7890868,136.3451862,208.6438069,420.9486916,562.3207267,622.4260132,516.9359766,242.9039452,64.1348484,64.74088778,41.69765688,43.46848153,48.0128415,57.53029572,88.03640412,177.6175851,237.2689393,262.63012,218.1190289,102.4923299,27.06143795,27.31715379,22.28291152,23.22922678,25.65769827,30.74375361,47.04598652,94.9174901,126.7947212,140.3475438,116.5611544,54.7711236,14.46142715,14.59807976
8318827,2124847.364,24884.50518,0.0117111970000,942.6028654,982.6335173,1085.361753,1300.510044,1990.120621,4015.161935,5363.619895,5936.926009,4930.723619,2316.906298,611.7415428,617.5221671,977.3235154,977.3235154,1018.828691,1125.340908,1348.414157,2063.426446,4163.059886,5561.188114,6155.611882,5112.346162,2402.249231,634.2749604,640.2685132,596.1284812,621.4449879,686.4132046,822.4790162,1258.60808,2539.300987,3392.103609,3754.678471,3118.327867,1465.276506,386.8825039,390.5383329,262.2638471,273.4017219,301.9841752,361.8456721,553.7185481,1117.153209,1492.339605,1651.852665,1371.893289,644.6413239,170.2070896,171.8154539,176.8009928,184.3094137,203.577819,243.9324931,373.2805346,753.1110317,1006.036961,1113.570148,924.839997,434.5746749,114.7423969,115.8266501
8318829,2325708.55,9143.944333,0.0039316810000,420.901168,438.7760851,484.6474017,580.7177302,888.6500607,1792.893285,2395.021234,2651.020046,2201.719734,1034.569916,273.1614122,275.7426387,391.549138,391.549138,408.1775271,450.8499543,540.2207074,826.6790204,1667.863797,2228.001657,2466.148095,2048.180261,962.4229855,254.112185,256.5134067,254.3622936,265.1646037,292.8859173,350.9438915,537.0359715,1083.495326,1447.378009,1602.085218,1330.560531,625.2194023,165.0790461,166.6389532,127.62831,133.0484553,146.9578455,176.0888972,269.4620829,543.6524235,726.2334625,803.8590386,667.6193609,313.7088228,82.82972832,83.61242413,56.16114873,58.54621192,64.66685502,77.48558878,118.5732234,239.227054,319.5694239,353.7275313,293.7770642,138.0434157,36.44812575,36.79254068
8318835,1805290.029,6983.505742,0.0038683570000,193.5499701,201.76969,222.8634588,267.0410726,408.6427071,824.4558776,1101.342367,1219.062549,1012.453329,475.743456,125.6123461,126.7993143,186.2288877,186.2288877,194.1376944,214.4335855,256.9401685,393.1856811,793.2706007,1059.68378,1172.951163,974.1569955,457.7483252,120.8610235,122.0030944,118.2158097,123.2362229,136.1198052,163.1024618,249.5894391,503.55843,672.6742426,744.5749857,618.3828908,290.5730122,76.72109266,77.44606519,59.38039318,61.9021719,68.37365979,81.92718332,125.3700251,252.9399211,337.8876406,374.0037439,310.6168227,145.9562791,38.53738904,38.90154637,27.53590426,28.7053047,31.70626615,37.99131255,58.13664788,117.2934209,156.685418,173.4331946,144.0393813,67.68291542,17.87057644,18.03944365
8318837,5627542.625,10239.89995,0.0018196040000,260.2101814,271.2608408,299.6194782,359.0122277,549.3826369,1108.405304,1480.653791,1638.917778,1361.150634,639.5934389,168.8742775,170.4700474,240.8748703,240.8748703,251.1043937,277.3557997,332.3352811,508.5599291,1026.043571,1370.631571,1517.135514,1260.008277,592.067481,156.3258188,157.8030127,154.6917209,161.2612006,178.1200583,213.4283102,326.6011539,658.9331861,880.230288,974.3162627,809.1871452,380.2303553,100.3936604,101.3423258,63.31017408,65.99884355,72.89861304,87.34910566,133.6669848,269.6794275,360.2489678,398.7552266,331.1733733,155.6156325,41.08778467,41.47604185,40.74457598,42.47492499,46.91541479,56.21532912,86.02416119,173.5577904,231.845697,256.6271987,213.133495,100.1496687,26.44289624,26.69276721
8318839,1302318.557,4771.869394,0.0036641340000,199.4960015,207.9682386,229.7100273,275.2448175,421.1965832,849.783913,1135.176607,1256.513261,1043.556817,490.3587282,129.4712717,130.6947047,191.1054546,191.1054546,199.2213602,220.048717,263.6683722,403.4815931,814.0430874,1087.432529,1203.665918,999.6661511,469.7348667,124.0258755,125.1978524,118.1273389,123.1439949,136.0179353,162.9803985,249.4026504,503.181575,672.1708241,744.0177578,617.920103,290.3555521,76.66367583,77.38810581,57.79648957,60.25100275,66.54987115,79.74187005,122.0259241,246.1930399,328.8748769,364.0276247,302.3314767,142.0630635,37.50944856,37.86389242,29.50469707,30.7577086,33.97323615,40.70765781,62.29336681,125.6797968,167.8882868,185.8335147,154.3380697,72.52218404,19.14830685,19.32924792
8318843,386178.154,1299.773081,0.0033657340000,89.11006612,92.89441069,102.6059448,122.9452405,188.1383842,379.5780372,507.0560901,561.2542552,466.1317335,219.0314511,57.83170338,58.37818148,83.31856869,83.31856869,86.85695877,95.93731475,114.9547062,175.9107761,354.9082628,474.101182,524.7768659,435.8366069,204.7960214,54.07306897,54.58403002,53.52852754,55.80178803,61.63551865,73.8533589,113.0149614,228.012999,304.589224,337.1461291,280.0059121,131.5724651,34.73957615,35.06784622,27.37651211,28.53914344,31.52273377,37.77139904,57.80012268,116.6144655,155.7784411,172.429273,143.2056063,67.29113145,17.76713223,17.93502195,12.01311348,12.52328885,13.83252097,16.57450377,25.36332715,51.17170522,68.35728686,75.6638543,62.84018917,29.5280858,7.796412299,7.870084149
8319323,1925121.074,3380.419276,0.0017559520000,155.2977838,161.893002,178.8179106,214.2644958,327.8807367,661.5148045,883.678921,978.1335129,812.35744,381.7200506,100.7869903,101.7393725,138.1896174,138.1896174,144.0582825,159.1186818,190.6603428,291.7602071,588.6399375,786.3296502,870.3787821,722.8652019,339.6683871,89.68393039,90.53139468,89.53110353,93.3333288,103.0907491,123.5261462,189.0273219,381.3715108,509.4518866,563.9061334,468.3341659,220.0663559,58.10495322,58.65401337,50.83497961,52.99384996,58.53402808,70.13706833,107.3280645,216.5394172,289.2623373,320.1809837,265.9160542,124.9517573,32.99148559,33.30323716,22.29974211,23.24677214,25.67707789,30.76697479,47.081521,94.98918258,126.890491,140.4535503,116.6491946,54.81249298,14.47235007,14.60910589
8319325,3277408.405,5388.481906,0.0016441290000,202.8514724,211.4662103,233.5736902,279.8743638,428.2810003,864.0770575,1154.269982,1277.647487,1061.109172,498.6064346,131.6489449,132.8929557,174.8952711,174.8952711,182.3227594,201.3834723,241.3031671,369.2569779,744.9933168,995.1929811,1101.567078,914.8712313,429.8904343,113.5055991,114.5781652,118.3971755,123.425291,136.3286392,163.3526924,249.9723574,504.3309857,673.7062546,745.7173073,619.3316094,291.0188072,76.8387976,77.56488238,62.35368473,65.00173381,71.79726166,86.02943642,131.6475456,265.6051139,354.8063306,392.7308374,326.17001,153.2645934,40.46703091,40.84942231,29.79352226,31.05879968,34.30580443,41.10615019,62.90316441,126.9100921,169.5317664,187.6526623,155.8489045,73.23211281,19.33575204,19.51846436
8319329,3465255.536,2674.09013,0.0007716860000,103.3749278,107.7650755,119.0312453,142.6264834,218.2558351,440.3414105,588.2263251,651.1006069,540.7507414,254.0943065,67.08948186,67.72344091,90.00033052,90.00033052,93.82248303,103.6310413,124.1735392,190.0180025,383.3702554,512.1218925,566.8615307,470.7886764,221.2197101,58.40947769,58.96141544,62.37951234,65.02865828,71.82700092,86.0650708,131.7020756,265.7151306,354.9532955,392.893511,326.3051134,153.3280773,40.48379282,40.86634261,34.2437874,35.69805959,39.43007017,47.24618511,72.29902426,145.8666812,194.8547645,215.6823828,179.1280905,84.17081002,22.22393768,22.43394178,12.00570754,12.51556839,13.82399339,16.56428579,25.34769097,51.14015849,68.31514542,75.61720845,62.80144896,29.50988209,7.791605906,7.865232338
8319333,3321674.205,138.0806105,0.0000415696000,2.132214569,2.222765895,2.455142274,2.94181841,4.501751837,9.082496021,12.132775,13.42962195,11.15354209,5.240957295,1.383789799,1.396865859,2.132214569,2.132214569,2.222765895,2.455142274,2.94181841,4.501751837,9.082496021,12.132775,13.42962195,11.15354209,5.240957295,1.383789799,1.396865859,2.132214569,2.222765895,2.455142274,2.94181841,4.501751837,9.082496021,12.132775,13.42962195,11.15354209,5.240957295,1.383789799,1.396865859,2.132214569,2.222765895,2.455142274,2.94181841,4.501751837,9.082496021,12.132775,13.42962195,11.15354209,5.240957295,1.383789799,1.396865859,2.132214569,2.222765895,2.455142274,2.94181841,4.501751837,9.082496021,12.132775,13.42962195,11.15354209,5.240957295,1.383789799,1.396865859
